name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
canmx,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
ch_k2,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
ch_n2,0,0.11928,-0.238561,0.238561,-2.55e-05,0.0842723,-0.16857,0.168519
ch_s2,0,0.11928,-0.238561,0.238561,0.00025366,0.106877,-0.213501,0.214009
cn2,0,0.11928,-0.238561,0.238561,1.76506e-06,8.36115e-05,-0.000165458,0.000168988
epco,0,0.11928,-0.238561,0.238561,0,0.093091,-0.186182,0.186182
esco,0,0.11928,-0.238561,0.238561,1.59895e-07,0.0264811,-0.0529621,0.0529625
flowmin,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
hk0_i:10_j:10_zone:1,0.69897,1.5,-2.30103,3.69897,0.69897,1.5,-2.30103,3.69897
hk0_i:10_j:30_zone:1,0.290035,1.5,-2.70997,3.29003,0.290035,1.5,-2.70997,3.29003
hk0_i:10_j:50_zone:1,-0.30103,1.5,-3.30103,2.69897,-0.30103,1.5,-3.30103,2.69897
hk0_i:30_j:30_zone:1,0.39794,1.5,-2.60206,3.39794,0.39794,1.5,-2.60206,3.39794
hk0_i:30_j:50_zone:1,0.812913,1.5,-2.18709,3.81291,0.812913,1.5,-2.18709,3.81291
hk0_i:50_j:30_zone:1,0.176091,1.5,-2.82391,3.17609,0.176091,1.5,-2.82391,3.17609
hk0_i:50_j:50_zone:1,-0.167491,1.5,-3.16749,2.83251,-0.167491,1.5,-3.16749,2.83251
hk0_i:70_j:50_zone:1,0.460898,1.5,-2.5391,3.4609,0.460898,1.5,-2.5391,3.4609
hk0_i:90_j:50_zone:1,0.217484,1.5,-2.78252,3.21748,0.217484,1.5,-2.78252,3.21748
lat_ttime,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
ov_n,0,0.11928,-0.238561,0.238561,0.0593813,0.0438901,-0.028399,0.147162
percop,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
prf,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
sol_awc,0,0.11928,-0.238561,0.238561,1.82156e-05,0.000983526,-0.00194884,0.00198527
sol_bd,0,0.11928,-0.238561,0.238561,-1.15317e-07,0.040103,-0.0802062,0.080206
sol_k,0,0.11928,-0.238561,0.238561,0.0310519,0.098599,-0.166146,0.22825
sol_z,0,0.11928,-0.238561,0.238561,1.51753e-05,0.000580541,-0.00114591,0.00117626
ss0_i:10_j:10_zone:1,-5.48149,0.513589,-6.50866,-4.45431,-5.48149,0.491471,-6.46443,-4.49854
ss0_i:10_j:30_zone:1,-5.48149,0.513589,-6.50866,-4.45431,-5.48149,0.491471,-6.46443,-4.49854
ss0_i:10_j:50_zone:1,-5.48149,0.513589,-6.50866,-4.45431,-5.48149,0.491471,-6.46443,-4.49854
ss0_i:30_j:30_zone:1,-5.48149,0.513589,-6.50866,-4.45431,-5.48149,0.491471,-6.46443,-4.49854
ss0_i:30_j:50_zone:1,-5.48149,0.513589,-6.50866,-4.45431,-5.48149,0.491471,-6.46443,-4.49854
ss0_i:50_j:30_zone:1,-5.48149,0.513589,-6.50866,-4.45431,-5.48149,0.491471,-6.46443,-4.49854
ss0_i:50_j:50_zone:1,-5.48149,0.513589,-6.50866,-4.45431,-5.48149,0.491471,-6.46443,-4.49854
ss0_i:70_j:50_zone:1,-5.48149,0.513589,-6.50866,-4.45431,-5.48149,0.491471,-6.46443,-4.49854
ss0_i:90_j:50_zone:1,-5.48149,0.513589,-6.50866,-4.45431,-5.48149,0.491471,-6.46443,-4.49854
surlag,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
sy0_i:10_j:10_zone:1,-0.69897,0.944538,-2.58805,1.19011,-0.69897,0.944538,-2.58805,1.19011
sy0_i:10_j:30_zone:1,-0.455932,0.944538,-2.34501,1.43314,-0.455932,0.944538,-2.34501,1.43314
sy0_i:10_j:50_zone:1,-0.346787,0.944538,-2.23586,1.54229,-0.346787,0.944538,-2.23586,1.54229
sy0_i:30_j:30_zone:1,-0.443697,0.944538,-2.33277,1.44538,-0.443697,0.944538,-2.33277,1.44538
sy0_i:30_j:50_zone:1,-0.769551,0.944538,-2.65863,1.11952,-0.769551,0.944538,-2.65863,1.11952
sy0_i:50_j:30_zone:1,-1.09691,0.944538,-2.98599,0.792166,-1.09691,0.944538,-2.98599,0.792166
sy0_i:50_j:50_zone:1,-0.537602,0.944538,-2.42668,1.35147,-0.537602,0.944538,-2.42668,1.35147
sy0_i:70_j:50_zone:1,-0.346787,0.944538,-2.23586,1.54229,-0.346787,0.944538,-2.23586,1.54229
sy0_i:90_j:50_zone:1,-0.79588,0.944538,-2.68496,1.0932,-0.79588,0.944538,-2.68496,1.0932
